appgenre_id,appid,genres_id
155,4420,19
156,4460,21
157,4460,24
158,4470,19
159,4500,2
160,4500,19
161,4520,2
162,4520,24
163,4530,2
164,4530,24
165,4560,2
166,4560,24
167,4560,28
168,4570,24
169,4580,24
170,4700,24
171,4720,2
172,4760,24
173,4770,24
174,4780,24
175,4800,24
176,4850,24
177,4870,24
178,4880,24
179,4890,24
180,4900,6
181,4900,14
182,4920,2
183,4920,14
184,4920,24
185,6000,2
186,6010,3
187,6020,2
188,6030,2
189,6040,3
190,6060,2
191,6080,2
192,6080,3
193,6080,18
194,6080,21
195,6080,24
196,6090,2
197,6120,2
198,6120,14
199,6200,24
200,6210,24
201,6220,18
202,6250,2
203,6250,24
204,6270,18
205,6300,3
206,6300,19
207,6310,2
208,6310,3
209,6310,19
210,6370,2
211,6370,11
212,6370,15
213,6400,2
214,6400,24
215,6420,14
216,6420,21
217,6420,24
218,6510,2
219,6510,3
220,6550,2
221,6800,2
222,6810,2
223,6830,2
224,6840,2
225,6850,2
226,6860,2
227,6870,2
228,6880,2
229,6900,2
230,6910,2
231,6920,2
232,6980,2
233,7000,2
234,7000,3
235,7010,2
236,7020,2
237,7110,19
238,7200,18
239,7210,3
240,7220,3
241,7260,19
242,7340,6
243,7340,14
244,7510,2
245,7510,3
246,7510,16
247,7510,19
248,7510,28
249,7520,16
250,7520,19
251,7520,28
252,7530,24
253,7600,24
254,7610,24
255,7620,24
256,7650,24
257,7660,24
258,7730,24
259,7760,24
260,7770,24
261,7830,24
262,7840,18
263,7860,2
264,7940,2
265,8000,2
266,8000,3
267,8080,2
268,8100,2
269,8140,2
270,8140,3
271,8170,2
272,8170,24
273,8190,2
274,8190,3
275,8310,3
276,8320,3
277,8330,6
278,8340,3
279,8400,6
280,8500,2
281,8500,11
282,8500,15
283,8500,19
284,8500,24
285,8600,18
286,8790,18
287,8790,21
288,8790,23
289,8800,24
290,8870,2
291,8880,19
292,8880,24
293,8890,19
294,8890,24
295,8930,24
296,8970,14
297,9000,2
298,9010,2
299,9030,2
300,9040,2
301,9050,2
302,9060,2
303,9160,2
304,9180,2
305,9200,2
306,9310,24
307,9340,2
308,9340,24
309,9350,24
310,9420,24
311,9450,24
312,9460,2
313,9480,2
314,9500,14
315,9710,2
316,9760,2
317,9800,2
318,9800,3
319,9850,21
320,9850,24
321,9880,11
322,9880,15
323,9880,19
324,9900,11
325,9900,15
326,9900,19
327,9940,2
328,9940,3
329,9960,3
330,9970,2
331,9980,6
332,10090,2
333,10100,3
334,10110,3
335,10120,2
336,10120,6
337,10130,2
338,10140,23
339,10150,2
340,10150,3
341,10180,2
342,10220,2
343,10230,3
344,10240,3
345,10250,21
346,10260,21
347,10270,19
348,10270,24
349,10460,2
350,10500,24
351,10680,2
352,11020,18
353,11040,3
354,11040,19
355,11050,3
356,11130,3
357,11140,3
358,11150,3
359,11190,3
360,11190,19
361,11200,2
362,11230,6
363,11230,14
364,11230,18
365,11240,2
366,11240,14
367,11240,24
368,11250,21
369,11250,24
370,11260,21
371,11260,24
372,11280,2
373,11280,6
374,11280,14
375,11330,6
376,11330,14
377,11340,2
378,11340,14
379,11360,14
380,11450,19
381,11480,24
382,11560,24
383,11590,21
384,12100,2
385,12110,2
386,12120,2
387,12130,2
388,12140,2
389,12150,2
390,12170,2
391,12180,2
392,12200,2
393,12200,3
394,12210,2
395,12210,3
396,12220,2
397,12310,3
398,12310,6
399,12310,19
400,12320,2
401,12320,19
402,12330,2
403,12340,3
404,12360,18
405,12390,2
406,12420,24
407,12430,6
408,12440,3
409,12450,3
410,12460,24
411,12470,24
412,12480,24
413,12500,6
414,12510,24
415,12520,18
416,12530,2
417,12530,3
418,12530,24
419,12540,6
420,12560,21
421,12590,18
422,12600,18
423,12640,19
424,12670,21
425,12710,19
426,12770,19
427,12790,2
428,12790,3
429,12810,19
430,12830,2
431,13000,6
432,13000,14
433,13140,2
434,13200,2
435,13210,2
436,13230,2
437,13240,2
438,13250,2
439,13500,2
440,13500,3
441,13520,2
442,13530,2
443,13530,3
444,13540,2
445,13560,2
446,13570,2
447,13580,2
448,13600,2
449,13600,3
450,13620,2
451,15000,2
452,15080,2
453,15080,3
454,15100,2
455,15100,3
