appdeveloper_id,appid,developer_id
241,8970,13945
242,9000,7237
243,9010,6440
244,9030,13200
245,9040,13065
246,9050,7237
247,9060,12682
248,9160,7237
249,9180,7237
250,9200,7237
251,9310,12898
252,9340,12898
253,9350,6094
254,9420,6094
255,9450,12898
256,9460,8274
257,9480,16815
258,9500,3436
259,9710,14430
260,9760,5019
261,9800,6632
262,9850,7499
263,9850,14743
264,9850,15719
265,9880,3437
266,9900,3437
267,9940,8609
268,9960,7344
269,9970,7404
270,9980,1184
271,10090,16086
272,10100,13905
273,10110,13905
274,10120,1184
275,10130,13401
276,10140,16920
277,10150,12565
278,10180,1260
279,10180,7468
280,10220,16054
281,10230,4750
282,10240,14476
283,10250,14874
284,10260,14874
285,10270,523
286,10460,1886
287,10500,3357
288,10500,5322
289,10500,5323
290,10680,12757
291,11020,10520
292,11040,5728
293,11050,5728
294,11130,5728
295,11140,5728
296,11150,5728
297,11190,5728
298,11200,5760
299,11230,2925
300,11240,9889
301,11250,2394
302,11250,8892
303,11260,8892
304,11280,5722
305,11330,7602
306,11340,9889
307,11360,89
308,11450,16149
309,11450,16705
310,11480,1717
311,11560,8320
312,11590,3903
313,12100,13168
314,12110,13168
315,12120,13168
316,12130,13171
317,12140,12907
318,12150,12907
319,12170,13171
320,12180,13171
321,12200,13170
322,12210,13171
323,12210,13174
324,12220,13172
325,12310,10255
326,12320,1239
327,12330,1239
328,12340,3889
329,12360,2390
330,12390,11611
331,12420,8320
332,12430,15385
333,12440,3887
334,12450,3887
335,12460,9668
336,12470,1239
337,12480,8893
338,12480,11057
339,12500,7459
340,12510,5973
341,12510,16704
342,12520,13590
343,12530,13590
344,12540,17651
345,12560,5890
346,12590,1783
347,12600,1441
348,12600,9896
349,12640,12576
350,12670,16704
351,12710,16149
352,12710,16705
353,12770,9026
354,12790,2076
355,12810,16149
356,12810,16705
357,12830,3058
358,13000,13498
359,13140,16274
360,13200,4904
361,13210,4904
362,13230,4904
363,13240,4904
364,13250,4904
365,13500,16281
366,13520,3456
367,13530,16293
368,13540,16293
369,13560,16281
370,13570,16293
371,13580,16293
372,13600,8628
373,13620,12819
374,15000,12819
375,15080,16288
376,15080,16292
377,15100,16293
378,15120,16293
379,15130,16281
380,15160,16281
381,15170,10914
382,15190,6121
383,15200,16303
384,15210,16281
385,15240,16303
386,15270,3752
387,15300,12819
388,15320,54
389,15370,10914
390,15380,10914
391,15390,6121
392,15400,11528
393,15500,3929
394,15520,3929
395,15560,3929
396,15560,11523
397,15620,12898
398,15700,11206
399,15710,11206
400,15740,11206
401,15750,11206
402,15800,14092
403,15900,10422
404,15910,10422
405,15920,10422
406,15930,10422
407,15960,10422
408,15970,10422
409,16000,10422
410,16020,10422
411,16030,10422
412,16040,10422
413,16060,10422
414,16100,8769
415,16110,8769
416,16120,8769
417,16130,8769
418,16180,8769
419,16200,8769
420,16450,10281
421,16500,2106
422,16600,12840
423,16620,12842
424,16710,3291
425,16720,12934
426,16730,14391
427,16810,5383
428,16900,1950
429,17080,6923
430,17100,15774
431,17120,15774
432,17140,15774
433,17180,15774
434,17300,3455
435,17330,3455
436,17390,9786
437,17410,4068
438,17430,4580
439,17440,9786
440,17450,1832
441,17460,1832
442,17470,4582
443,17480,4581
444,17500,17739
445,17570,11183
446,17710,5980
447,17710,7555
448,17740,4823
449,18000,7060
450,18020,7060
451,18040,7060
452,18050,7060
453,18070,7060
454,18120,5859
455,18300,13866
456,18400,5205
457,18420,5205
458,18470,14430
459,18480,173
460,18500,6928
461,18600,7568
462,18700,2331
463,18820,2293
464,19000,4320
465,19020,7459
466,19030,2991
467,19080,5885
468,19200,4059
469,19320,14770
470,19500,9216
471,19500,13950
472,19800,6121
473,19830,12819
474,19830,16293
475,19900,16293
476,19980,16293
477,20200,11772
478,20510,6561
479,20530,16818
480,20540,12898
481,20550,16818
482,20570,12898
483,20700,10314
484,20710,10314
485,20820,13902
486,20900,2686
487,20920,2686
488,21000,16059
489,21010,3863
490,21030,3864
491,21090,10284
492,21090,15796
493,21100,3829
494,21130,16178
495,21300,3709
496,21400,6028
497,21500,4710
498,21640,12361
499,21660,2546
