appplatform_id,appid,platform_id,weights
537,17410,3,1.0
538,17430,3,1.0
539,17440,3,1.0
540,17450,3,1.0
541,17460,3,1.0
542,17470,3,1.0
543,17480,3,1.0
544,17500,1,0.5
545,17500,3,0.5
546,17570,1,0.3333333333333333
547,17570,2,0.3333333333333333
548,17570,3,0.3333333333333333
549,17710,1,0.3333333333333333
550,17710,2,0.3333333333333333
551,17710,3,0.3333333333333333
552,17740,1,0.5
553,17740,3,0.5
554,18000,3,1.0
555,18020,3,1.0
556,18040,2,0.5
557,18040,3,0.5
558,18050,2,0.5
559,18050,3,0.5
560,18070,2,0.5
561,18070,3,0.5
562,18120,2,0.5
563,18120,3,0.5
564,18300,1,0.3333333333333333
565,18300,2,0.3333333333333333
566,18300,3,0.3333333333333333
567,18400,3,1.0
568,18420,3,1.0
569,18470,3,1.0
570,18480,3,1.0
571,18500,3,1.0
572,18600,3,1.0
573,18700,1,0.3333333333333333
574,18700,2,0.3333333333333333
575,18700,3,0.3333333333333333
576,18820,3,1.0
577,19000,3,1.0
578,19020,3,1.0
579,19030,3,1.0
580,19080,3,1.0
581,19200,3,1.0
582,19320,3,1.0
583,19500,3,1.0
584,19800,3,1.0
585,19830,3,1.0
586,19900,3,1.0
587,19980,3,1.0
588,20200,3,1.0
589,20510,3,1.0
590,20530,3,1.0
591,20540,3,1.0
592,20550,3,1.0
593,20570,1,0.3333333333333333
594,20570,2,0.3333333333333333
595,20570,3,0.3333333333333333
596,20700,3,1.0
597,20710,3,1.0
598,20820,1,0.3333333333333333
599,20820,2,0.3333333333333333
600,20820,3,0.3333333333333333
601,20900,2,0.5
602,20900,3,0.5
603,20920,1,0.3333333333333333
604,20920,2,0.3333333333333333
605,20920,3,0.3333333333333333
606,21000,3,1.0
607,21010,3,1.0
608,21030,3,1.0
609,21090,3,1.0
610,21100,3,1.0
611,21130,3,1.0
612,21300,3,1.0
613,21400,3,1.0
614,21500,3,1.0
615,21640,3,1.0
616,21660,3,1.0
617,21670,3,1.0
618,21680,3,1.0
619,21690,3,1.0
620,21780,3,1.0
621,21800,3,1.0
622,21980,3,1.0
623,22000,1,0.3333333333333333
624,22000,2,0.3333333333333333
625,22000,3,0.3333333333333333
626,22100,3,1.0
627,22120,1,0.3333333333333333
628,22120,2,0.3333333333333333
629,22120,3,0.3333333333333333
630,22130,3,1.0
631,22180,1,0.3333333333333333
632,22180,2,0.3333333333333333
633,22180,3,0.3333333333333333
634,22200,3,1.0
635,22230,3,1.0
636,22300,3,1.0
637,22310,3,1.0
638,22320,3,1.0
639,22330,3,1.0
640,22350,3,1.0
641,22370,3,1.0
642,22380,3,1.0
643,22450,3,1.0
644,22500,3,1.0
645,22600,1,0.3333333333333333
646,22600,2,0.3333333333333333
647,22600,3,0.3333333333333333
648,22610,3,1.0
649,22650,3,1.0
650,22670,3,1.0
651,23150,3,1.0
652,23300,3,1.0
653,23380,3,1.0
654,23400,3,1.0
655,23420,3,1.0
656,23450,3,1.0
657,23460,3,1.0
658,23490,3,1.0
659,23500,3,1.0
660,23530,3,1.0
661,23600,1,0.3333333333333333
662,23600,2,0.3333333333333333
663,23600,3,0.3333333333333333
664,23700,3,1.0
665,24010,3,1.0
666,24200,3,1.0
667,24240,3,1.0
668,24400,3,1.0
669,24410,3,1.0
670,24420,1,0.5
671,24420,3,0.5
672,24460,3,1.0
673,24480,3,1.0
674,24640,3,1.0
675,24650,3,1.0
676,24670,3,1.0
677,24720,3,1.0
678,24740,3,1.0
679,24780,2,0.5
680,24780,3,0.5
681,24790,3,1.0
682,24800,3,1.0
683,24810,3,1.0
684,24840,3,1.0
685,24870,3,1.0
686,24960,3,1.0
687,24980,3,1.0
688,25000,1,0.3333333333333333
689,25000,2,0.3333333333333333
690,25000,3,0.3333333333333333
691,25010,1,0.3333333333333333
692,25010,2,0.3333333333333333
693,25010,3,0.3333333333333333
694,25500,3,1.0
695,25600,1,0.3333333333333333
696,25600,2,0.3333333333333333
697,25600,3,0.3333333333333333
698,25620,1,0.3333333333333333
699,25620,2,0.3333333333333333
700,25620,3,0.3333333333333333
701,25700,2,0.5
702,25700,3,0.5
703,25800,2,0.5
704,25800,3,0.5
705,25830,3,1.0
706,25850,3,1.0
707,25890,2,0.5
708,25890,3,0.5
709,25900,2,0.5
710,25900,3,0.5
711,25910,3,1.0
712,25930,3,1.0
713,25980,3,1.0
714,25990,3,1.0
715,26000,3,1.0
716,26300,3,1.0
717,26800,1,0.3333333333333333
718,26800,2,0.3333333333333333
719,26800,3,0.3333333333333333
720,26900,2,0.5
721,26900,3,0.5
722,27000,2,0.5
723,27000,3,0.5
724,27020,1,0.3333333333333333
725,27020,2,0.3333333333333333
726,27020,3,0.3333333333333333
727,27050,2,0.5
728,27050,3,0.5
729,27200,3,1.0
730,27330,3,1.0
731,27400,2,0.5
732,27400,3,0.5
733,27600,3,1.0
734,27800,3,1.0
735,27810,3,1.0
736,27900,3,1.0
737,27920,3,1.0
738,27940,3,1.0
739,28000,3,1.0
740,29120,3,1.0
741,29130,3,1.0
742,29160,1,0.3333333333333333
743,29160,2,0.3333333333333333
744,29160,3,0.3333333333333333
745,29180,1,0.3333333333333333
746,29180,2,0.3333333333333333
747,29180,3,0.3333333333333333
748,29800,2,0.5
749,29800,3,0.5
750,29900,3,1.0
751,31270,2,0.5
752,31270,3,0.5
753,31300,3,1.0
754,31800,3,1.0
755,31810,3,1.0
756,31820,3,1.0
757,31830,3,1.0
758,31840,3,1.0
759,31850,3,1.0
760,31860,3,1.0
761,31870,3,1.0
762,31880,3,1.0
763,31890,3,1.0
764,31900,3,1.0
765,31910,3,1.0
766,31920,3,1.0
767,31930,3,1.0
768,31980,3,1.0
769,32000,3,1.0
770,32110,2,0.5
771,32110,3,0.5
772,32120,3,1.0
773,32140,3,1.0
774,32150,3,1.0
775,32160,3,1.0
776,32200,3,1.0
777,32310,2,0.5
778,32310,3,0.5
779,32330,3,1.0
780,32340,2,0.5
781,32340,3,0.5
782,32350,3,1.0
783,32360,3,1.0
784,32370,2,0.5
785,32370,3,0.5
786,32380,3,1.0
787,32390,3,1.0
788,32400,2,0.5
789,32400,3,0.5
790,32410,3,1.0
791,32420,3,1.0
